quote,author,tags,combined
“being a writer is a very peculiar sort of a job: it's always you versus a blank sheet of paper (or a blank screen) and quite often the blank piece of paper wins.”,neil gaiman,['writing'],“being a writer is a very peculiar sort of a job: it's always you versus a blank sheet of paper (or a blank screen) and quite often the blank piece of paper wins.” - neil gaiman [writing]
"“no matter how careful you are, there's going to be the sense you missed something, the collapsed feeling under your skin that you didn't experience it all. there's that fallen heart feeling that you rushed right through the moments where you should've been paying attention.well, get used to that feeling. that's how your whole life will feel some day.this is all practice.”","chuck palahniuk,",['life'],"“no matter how careful you are, there's going to be the sense you missed something, the collapsed feeling under your skin that you didn't experience it all. there's that fallen heart feeling that you rushed right through the moments where you should've been paying attention.well, get used to that feeling. that's how your whole life will feel some day.this is all practice.” - chuck palahniuk, [life]"
"“behind every beautiful thing, there's some kind of pain.”",bob dylan,"['beautiful', 'behind', 'kind', 'of', 'pain', 'thing']","“behind every beautiful thing, there's some kind of pain.” - bob dylan [beautiful, behind, kind, of, pain, thing]"
"“what happened down in the dungeons between you and professor quirrell is a complete secret, so, naturally the whole school knows.”","j. k. rowling,",['dumbledore'],"“what happened down in the dungeons between you and professor quirrell is a complete secret, so, naturally the whole school knows.” - j. k. rowling, [dumbledore]"
"“writing is like sex. first you do it for love, then you do it for your friends, and then you do it for money.”",virginia woolf,['writing'],"“writing is like sex. first you do it for love, then you do it for your friends, and then you do it for money.” - virginia woolf [writing]"
"“my name is celaena sardothien. but it makes no difference if my name's celaena or lillian or bitch, because i'd still beat you, no matter what you call me.”","sarah j. maas,",['assassin'],"“my name is celaena sardothien. but it makes no difference if my name's celaena or lillian or bitch, because i'd still beat you, no matter what you call me.” - sarah j. maas, [assassin]"
"“when i saw you i fell in love, and you smiled because you knew.”",arrigo boito,['love'],"“when i saw you i fell in love, and you smiled because you knew.” - arrigo boito [love]"
“books have to be heavy because the whole world's inside them.”,"cornelia funke,",['inkheart'],"“books have to be heavy because the whole world's inside them.” - cornelia funke, [inkheart]"
"“please believe that things are good with me, and even when they're not, they will be soon enough. and i will always believe the same about you.”","stephen chbosky,","['happiness', 'inspirational', 'life']","“please believe that things are good with me, and even when they're not, they will be soon enough. and i will always believe the same about you.” - stephen chbosky, [happiness, inspirational, life]"
“a woman's heart should be so hidden in god that a man has to seek him just to find her.”,maya angelou,['inspirational'],“a woman's heart should be so hidden in god that a man has to seek him just to find her.” - maya angelou [inspirational]
"“some people have a way with words, and other people...oh, uh, not have way.”",steve martin,"['humor', 'words']","“some people have a way with words, and other people...oh, uh, not have way.” - steve martin [humor, words]"
"“it ain't what they call you, it's what you answer to.”",w.c. fields,"['labels', 'names']","“it ain't what they call you, it's what you answer to.” - w.c. fields [labels, names]"
“it's hard to enjoy practical jokes when your whole life feels like one.”,"rick riordan,","['enjoy', 'humor', 'joke', 'prank']","“it's hard to enjoy practical jokes when your whole life feels like one.” - rick riordan, [enjoy, humor, joke, prank]"
"“i've lived through some terrible things in my life, some of which actually happened.”",mark twain,['humor'],"“i've lived through some terrible things in my life, some of which actually happened.” - mark twain [humor]"
"“the real voyage of discovery consists not in seeking new landscapes, but in having new eyes.”",marcel proust,"['discovery', 'travel']","“the real voyage of discovery consists not in seeking new landscapes, but in having new eyes.” - marcel proust [discovery, travel]"
“the best way to find yourself is to lose yourself in the service of others.”,mahatma gandhi,"['discovery', 'identity', 'self-discovery', 'service']","“the best way to find yourself is to lose yourself in the service of others.” - mahatma gandhi [discovery, identity, self-discovery, service]"
"“stop comparing yourself to other people, just choose to be happy and live your own life.”","roy t. bennett,","['happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","“stop comparing yourself to other people, just choose to be happy and live your own life.” - roy t. bennett, [happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking]"
"“i fell in love with her when we were together, then fell deeper in love with her in the years we were apart.”","nicholas sparks,","['love', 'separation']","“i fell in love with her when we were together, then fell deeper in love with her in the years we were apart.” - nicholas sparks, [love, separation]"
“the only thing better than imagining dimitri carrying me in his arms was imagining him shirtless while carrying me in his arms.”,"richelle mead,","['academy', 'mead', 'richelle', 'vampire']","“the only thing better than imagining dimitri carrying me in his arms was imagining him shirtless while carrying me in his arms.” - richelle mead, [academy, mead, richelle, vampire]"
“you're a painter. you're a baker. you like to sleep with the windows open. you never take sugar in your tea. and you always double-knot your shoelaces.”,"suzanne collins,","['katniss-everdeen', 'peeta-mellark']","“you're a painter. you're a baker. you like to sleep with the windows open. you never take sugar in your tea. and you always double-knot your shoelaces.” - suzanne collins, [katniss-everdeen, peeta-mellark]"
“there is a crack in everything.that's how the light gets in.”,"leonard cohen,","['hope', 'light']","“there is a crack in everything.that's how the light gets in.” - leonard cohen, [hope, light]"
"“stories can conquer fear, you know. they can make the heart bigger.”",ben okri,['stories'],"“stories can conquer fear, you know. they can make the heart bigger.” - ben okri [stories]"
"“forbidden to remember, terrified to forget; it was a hard line to walk.”","stephenie meyer,",['memory'],"“forbidden to remember, terrified to forget; it was a hard line to walk.” - stephenie meyer, [memory]"
"“i will love you always. when this red hair is white, i will still love you. when the smooth softness of youth is replaced by the delicate softness of age, i will still want to touch your skin. when your face is full of the lines of every smile you have ever smiled, of every surprise i have seen flash through your eyes, when every tear you have ever cried has left its mark upon your face,i will treasure you all the more, because i was there to see it all. i will share your life with you, meredith, and i will love you until the last breath leaves your body or mine.”","laurell k. hamilton,","['inspirational', 'love', 'relationships']","“i will love you always. when this red hair is white, i will still love you. when the smooth softness of youth is replaced by the delicate softness of age, i will still want to touch your skin. when your face is full of the lines of every smile you have ever smiled, of every surprise i have seen flash through your eyes, when every tear you have ever cried has left its mark upon your face,i will treasure you all the more, because i was there to see it all. i will share your life with you, meredith, and i will love you until the last breath leaves your body or mine.” - laurell k. hamilton, [inspirational, love, relationships]"
"“as a woman i have no country. as a woman i want no country. as a woman, my country is the whole world.”",virginia woolf,['women'],"“as a woman i have no country. as a woman i want no country. as a woman, my country is the whole world.” - virginia woolf [women]"
“the emotion that can break your heart is sometimes the very one that heals it...”,"nicholas sparks,","['at-first-sight', 'emotions', 'healing', 'heartbreak', 'love', 'nicholas', 'nicholas-sparks', 'sparks']","“the emotion that can break your heart is sometimes the very one that heals it...” - nicholas sparks, [at-first-sight, emotions, healing, heartbreak, love, nicholas, nicholas-sparks, sparks]"
"“anyone can hide. facing up to things, working through them, that's what makes you strong.”",sarah dessen,"['inspirational', 'strength', 'tough-times']","“anyone can hide. facing up to things, working through them, that's what makes you strong.” - sarah dessen [inspirational, strength, tough-times]"
"“don't give in to your fears. if you do, you won't be able to talk to your heart.”","paulo coelho,",['fear'],"“don't give in to your fears. if you do, you won't be able to talk to your heart.” - paulo coelho, [fear]"
"“never be bullied into silence. never allow yourself to be made a victim. accept no one's definition of your life, but define yourself.”",harvey fierstein,"['be-yourself', 'identity', 'individuality', 'inspirational', 'life', 'self-determination', 'self-esteem', 'self-expression']","“never be bullied into silence. never allow yourself to be made a victim. accept no one's definition of your life, but define yourself.” - harvey fierstein [be-yourself, identity, individuality, inspirational, life, self-determination, self-esteem, self-expression]"
“you are not rich until you have a rich heart.”,"roy t. bennett,","['heart', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'rich', 'rich-heart', 'richness']","“you are not rich until you have a rich heart.” - roy t. bennett, [heart, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, rich, rich-heart, richness]"
“i don't like people who have never fallen or stumbled. their virtue is lifeless and it isn't of much value. life hasn't revealed its beauty to them. ”,boris pasternak,['life'],“i don't like people who have never fallen or stumbled. their virtue is lifeless and it isn't of much value. life hasn't revealed its beauty to them. ” - boris pasternak [life]
“you never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”,roy t. bennett,"['achievement', 'change', 'comfort-zone', 'courage', 'dream', 'dreams', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'start-up', 'step-out-of-your-comfort-zone']","“you never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.” - roy t. bennett [achievement, change, comfort-zone, courage, dream, dreams, inspiration, inspirational, inspirational-quotes, inspire, inspiring, leader, leaders, leadership, life, life-quotes, living, motivation, motivational, start-up, step-out-of-your-comfort-zone]"
"“memories, even your most precious ones, fade surprisingly quickly. but i donâ€™t go along with that. the memories i value most, i donâ€™t ever see them fading.”","kazuo ishiguro,",['memory'],"“memories, even your most precious ones, fade surprisingly quickly. but i donâ€™t go along with that. the memories i value most, i donâ€™t ever see them fading.” - kazuo ishiguro, [memory]"
"“1. be impeccable with your wordspeak with integrity. say only what you mean. avoid using the word to speak against yourself or to gossip about others. use the power of your word in the direction of truth and love. 2. don't take anything personallynothing others do is because of you. what others say and do is a projection of their own reality, their own dream. when you are immune to the opinions and actions of others, you won't be the victim of needless suffering. 3. don't make assumptionsfind the courage to ask questions and to express what you really want. communicate with others as clearly as you can to avoid misunderstandings, sadness and drama. with just this one agreement, you can completely transform your life. 4. always do your bestyour best is going to change from moment to moment; it will be different when you are healthy as opposed to sick. under any circumstance, simply do your best, and you will avoid self-judgment, self-abuse and regret.”",don miguel ruiz,"['spirituality', 'toltec-wisdom']","“1. be impeccable with your wordspeak with integrity. say only what you mean. avoid using the word to speak against yourself or to gossip about others. use the power of your word in the direction of truth and love. 2. don't take anything personallynothing others do is because of you. what others say and do is a projection of their own reality, their own dream. when you are immune to the opinions and actions of others, you won't be the victim of needless suffering. 3. don't make assumptionsfind the courage to ask questions and to express what you really want. communicate with others as clearly as you can to avoid misunderstandings, sadness and drama. with just this one agreement, you can completely transform your life. 4. always do your bestyour best is going to change from moment to moment; it will be different when you are healthy as opposed to sick. under any circumstance, simply do your best, and you will avoid self-judgment, self-abuse and regret.” - don miguel ruiz [spirituality, toltec-wisdom]"
"“when we don't know who to hate, we hate ourselves.”","chuck palahniuk,","['hate', 'self-loathing']","“when we don't know who to hate, we hate ourselves.” - chuck palahniuk, [hate, self-loathing]"
"“when the first baby laughed for the first time, its laugh broke into a thousand pieces, and they all went skipping about, and that was the beginning of fairies.”","j.m. barrie,",['happiness'],"“when the first baby laughed for the first time, its laugh broke into a thousand pieces, and they all went skipping about, and that was the beginning of fairies.” - j.m. barrie, [happiness]"
"“the more one judges, the less one loves.”","honorã© de balzac,","['human-nature', 'love']","“the more one judges, the less one loves.” - honorã© de balzac, [human-nature, love]"
“better a cruel truth than a comfortable delusion.”,edward abbey,['truth'],“better a cruel truth than a comfortable delusion.” - edward abbey [truth]
"“i must be a mermaid, rango. i have no fear of depths and a great fear of shallow living.”",anais nin,"['anais-nin', 'inspirational', 'living', 'mermaids', 'no-fear', 'sea']","“i must be a mermaid, rango. i have no fear of depths and a great fear of shallow living.” - anais nin [anais-nin, inspirational, living, mermaids, no-fear, sea]"
"“selfishness is not living as one wishes to live, it is asking others to live as one wishes to live.”",oscar wilde,['selfishness'],"“selfishness is not living as one wishes to live, it is asking others to live as one wishes to live.” - oscar wilde [selfishness]"
"“sometimes the bible in the hand of one man is worse than a whisky bottle in the hand of (another)... there are just some kind of men who - who're so busy worrying about the next world they've never learned to live in this one, and you can look down the street and see the results.”","harper lee,","['bible', 'god', 'hatred', 'judgement', 'religion']","“sometimes the bible in the hand of one man is worse than a whisky bottle in the hand of (another)... there are just some kind of men who - who're so busy worrying about the next world they've never learned to live in this one, and you can look down the street and see the results.” - harper lee, [bible, god, hatred, judgement, religion]"
"“do not let the memories of your past limit the potential of your future. there are no limits to what you can achieve on your journey through life, except in your mind.”","roy t. bennett,","['future', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'limit', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'potential']","“do not let the memories of your past limit the potential of your future. there are no limits to what you can achieve on your journey through life, except in your mind.” - roy t. bennett, [future, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, limit, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, potential]"
“a smile is a curve that sets everything straight.”,phyllis diller,['humor'],“a smile is a curve that sets everything straight.” - phyllis diller [humor]
"“remember me and smile, for it's better to forget than to remember me and cry.”",dr. seuss,"['dr-seuss', 'goodbye']","“remember me and smile, for it's better to forget than to remember me and cry.” - dr. seuss [dr-seuss, goodbye]"
"“let the first act of every morning be to make the following resolve for the day:- i shall not fear anyone on earth. - i shall fear only god. - i shall not bear ill will toward anyone. - i shall not submit to injustice from anyone. - i shall conquer untruth by truth. and in resisting untruth, i shall put up with all suffering.”",mahatma gandhi,"['bravery', 'god', 'goodness', 'humanity', 'justice', 'kindness', 'peace', 'suffering']","“let the first act of every morning be to make the following resolve for the day:- i shall not fear anyone on earth. - i shall fear only god. - i shall not bear ill will toward anyone. - i shall not submit to injustice from anyone. - i shall conquer untruth by truth. and in resisting untruth, i shall put up with all suffering.” - mahatma gandhi [bravery, god, goodness, humanity, justice, kindness, peace, suffering]"
"“did you see that dress?â€� ""i saw the dress.â€� ""did you like it?â€� he didn't answer. i took that as a yes. ""am i going to endanger my reputation if i wear it to the dance?â€� when he spoke, i could barely hear him. ""you'll endanger the school.â€� i smiled and fell asleep.”","richelle mead,","['funny', 'sweet']","“did you see that dress?â€� ""i saw the dress.â€� ""did you like it?â€� he didn't answer. i took that as a yes. ""am i going to endanger my reputation if i wear it to the dance?â€� when he spoke, i could barely hear him. ""you'll endanger the school.â€� i smiled and fell asleep.” - richelle mead, [funny, sweet]"
“one person's craziness is another person's reality.”,tim burton,"['craziness', 'insanity', 'perspective', 'reality', 'sanity']","“one person's craziness is another person's reality.” - tim burton [craziness, insanity, perspective, reality, sanity]"
"“you are not special. you're not a beautiful and unique snowflake. you're the same decaying organic matter as everything else. we're all part of the same compost heap. we're all singing, all dancing crap of the world.”","chuck palahniuk,",['unique'],"“you are not special. you're not a beautiful and unique snowflake. you're the same decaying organic matter as everything else. we're all part of the same compost heap. we're all singing, all dancing crap of the world.” - chuck palahniuk, [unique]"
"“i kept always two books in my pocket, one to read, one to write in.”","robert louis stevenson,","['books', 'inspirational', 'on-writing', 'reading']","“i kept always two books in my pocket, one to read, one to write in.” - robert louis stevenson, [books, inspirational, on-writing, reading]"
"“that's the thing about depression: a human being can survive almost anything, as long as she sees the end in sight. but depression is so insidious, and it compounds daily, that it's impossible to ever see the end.”","elizabeth wurtzel,",['depression'],"“that's the thing about depression: a human being can survive almost anything, as long as she sees the end in sight. but depression is so insidious, and it compounds daily, that it's impossible to ever see the end.” - elizabeth wurtzel, [depression]"
"“if i had my life to live over again, i would have made a rule to read some poetry and listen to some music at least once every week.”","charles darwin,","['arts', 'life', 'music', 'poetry']","“if i had my life to live over again, i would have made a rule to read some poetry and listen to some music at least once every week.” - charles darwin, [arts, life, music, poetry]"
"“may it be a light to you in dark places, when all other lights go out.”","j.r.r. tolkien,","['benediction', 'gift', 'light']","“may it be a light to you in dark places, when all other lights go out.” - j.r.r. tolkien, [benediction, gift, light]"
"“they always say time changes things, but you actually have to change them yourself.”","andy warhol,","['change', 'initiative', 'time']","“they always say time changes things, but you actually have to change them yourself.” - andy warhol, [change, initiative, time]"
"“i know we're fucked up, alright? i'm impulsive, and hot tempered, and you get under my skin like no one else. you act like you hate me one minute, and then need me the next. i never get anything right, and i don't deserve you...but i fucking love you, abby. i love you more than i loved anyone or anything ever. when you're around, i don't need booze, or money, or the fighting, or the one-night stands...”","jamie mcguire,",['love'],"“i know we're fucked up, alright? i'm impulsive, and hot tempered, and you get under my skin like no one else. you act like you hate me one minute, and then need me the next. i never get anything right, and i don't deserve you...but i fucking love you, abby. i love you more than i loved anyone or anything ever. when you're around, i don't need booze, or money, or the fighting, or the one-night stands...” - jamie mcguire, [love]"
“what she had realized was that love was that moment when your heart was about to burst.”,"stieg larsson,","['adoration', 'infatuation', 'love']","“what she had realized was that love was that moment when your heart was about to burst.” - stieg larsson, [adoration, infatuation, love]"
“anxiety is the dizziness of freedom.”,"sã¸ren kierkegaard ,","['anxiety', 'dizziness', 'fear', 'freedom', 'life']","“anxiety is the dizziness of freedom.” - sã¸ren kierkegaard , [anxiety, dizziness, fear, freedom, life]"
"“things need not have happened to be true. tales and dreams are the shadow-truths that will endure when mere facts are dust and ashes, and forgot.”","neil gaiman,",['sandman'],"“things need not have happened to be true. tales and dreams are the shadow-truths that will endure when mere facts are dust and ashes, and forgot.” - neil gaiman, [sandman]"
“to choose doubt as a philosophy of life is akin to choosing immobility as a means of transportation.”,"yann martel,",['life'],"“to choose doubt as a philosophy of life is akin to choosing immobility as a means of transportation.” - yann martel, [life]"
"“if you have good friends, no matter how much life is sucking , they can make you laugh.”",p.c. cast  kristin cast,['friendship'],"“if you have good friends, no matter how much life is sucking , they can make you laugh.” - p.c. cast  kristin cast [friendship]"
“in the endthese things matter most:how well did you love?how fully did you live?how deeply did you let go?”,"jack kornfield,","['eastern-philosophy', 'inspirational']","“in the endthese things matter most:how well did you love?how fully did you live?how deeply did you let go?” - jack kornfield, [eastern-philosophy, inspirational]"
"“the ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.”",martin luther king jr.,['challanges'],"“the ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.” - martin luther king jr. [challanges]"
“do not think that love in order to be genuine has to be extraordinary. what we need is to love without getting tired. be faithful in small things because it is in them that your strength lies.”,mother teresa,['paraphrased'],“do not think that love in order to be genuine has to be extraordinary. what we need is to love without getting tired. be faithful in small things because it is in them that your strength lies.” - mother teresa [paraphrased]
"“i always arrive late at the office, but i make up for it by leaving early.”",charles lamb,"['humor', 'work']","“i always arrive late at the office, but i make up for it by leaving early.” - charles lamb [humor, work]"
"“it doesn't matter. i have books, new books, and i can bear anything as long as there are books.”","jo walton,",['books'],"“it doesn't matter. i have books, new books, and i can bear anything as long as there are books.” - jo walton, [books]"
“if you're too open-minded; your brains will fall out.”,lawrence ferlinghetti,"['beatnik', 'cynical', 'funny', 'humour']","“if you're too open-minded; your brains will fall out.” - lawrence ferlinghetti [beatnik, cynical, funny, humour]"
"“kind words can be short and easy to speak, but their echoes are truly endless.”",mother teresa,['misattributed-to-mother-teresa'],"“kind words can be short and easy to speak, but their echoes are truly endless.” - mother teresa [misattributed-to-mother-teresa]"
"“why do people say ""grow some balls""? balls are weak and sensitive. if you wanna be tough, grow a vagina. those things can take a pounding.”",sheng wang,"['feminism', 'humor', 'misattributed-betty-white']","“why do people say ""grow some balls""? balls are weak and sensitive. if you wanna be tough, grow a vagina. those things can take a pounding.” - sheng wang [feminism, humor, misattributed-betty-white]"
"“i hope you're pleased with yourselves. we could all have been killed - or worse, expelled. now if you don't mind, i'm going to bed.”","j.k. rowling,","['humor', 'school']","“i hope you're pleased with yourselves. we could all have been killed - or worse, expelled. now if you don't mind, i'm going to bed.” - j.k. rowling, [humor, school]"
"“whatever you are physically...male or female, strong or weak, ill or healthy--all those things matter less than what your heart contains. if you have the soul of a warrior, you are a warrior. all those other things, they are the glass that contains the lamp, but you are the light inside.”","cassandra clare,","['character', 'clockwork-angel', 'jem-carstairs', 'lamp', 'light', 'soul', 'warrior']","“whatever you are physically...male or female, strong or weak, ill or healthy--all those things matter less than what your heart contains. if you have the soul of a warrior, you are a warrior. all those other things, they are the glass that contains the lamp, but you are the light inside.” - cassandra clare, [character, clockwork-angel, jem-carstairs, lamp, light, soul, warrior]"
“my rapier wit hides my inner pain.”,cassandra clare,"['humor', 'jace-wayland', 'the-mortal-instruments', 'tmi']","“my rapier wit hides my inner pain.” - cassandra clare [humor, jace-wayland, the-mortal-instruments, tmi]"
"“i say let the world go to hell, but i should always have my tea.”","fyodor dostoevsky,","['hell', 'individualism', 'irony', 'selfishness', 'tea']","“i say let the world go to hell, but i should always have my tea.” - fyodor dostoevsky, [hell, individualism, irony, selfishness, tea]"
“better to die fighting for freedom then be a prisoner all the days of your life.”,bob marley,"['freedom', 'liberty', 'life', 'revolution']","“better to die fighting for freedom then be a prisoner all the days of your life.” - bob marley [freedom, liberty, life, revolution]"
"“no sight so sad as that of a naughty child,"" he began, ""especially a naughty little girl. do you know where the wicked go after death?""""they go to hell,"" was my ready and orthodox answer.""and what is hell? can you tell me that?""""a pit full of fire.""""and should you like to fall into that pit, and to be burning there for ever?""""no, sir.""""what must you do to avoid it?""i deliberated a moment: my answer, when it did come was objectionable: ""i must keep in good health and not die.”","charlotte brontã«,","['children', 'hell', 'humor', 'religion']","“no sight so sad as that of a naughty child,"" he began, ""especially a naughty little girl. do you know where the wicked go after death?""""they go to hell,"" was my ready and orthodox answer.""and what is hell? can you tell me that?""""a pit full of fire.""""and should you like to fall into that pit, and to be burning there for ever?""""no, sir.""""what must you do to avoid it?""i deliberated a moment: my answer, when it did come was objectionable: ""i must keep in good health and not die.” - charlotte brontã«, [children, hell, humor, religion]"
“i'd rather die my way than live yours.”,"lauren oliver,","['independence', 'lena-holoway', 'self-determination', 'self-reliance']","“i'd rather die my way than live yours.” - lauren oliver, [independence, lena-holoway, self-determination, self-reliance]"
“try to be a rainbow in someone's cloud.”,"maya angelou,","['2008', 'advice']","“try to be a rainbow in someone's cloud.” - maya angelou, [2008, advice]"
"“where words leave off, music begins.”",heinrich heine,"['music', 'power-of-music']","“where words leave off, music begins.” - heinrich heine [music, power-of-music]"
“morning is wonderful. its only drawback is that it comes at such an inconvenient time of day.”,"glen cook,","['morning', 'waking-up']","“morning is wonderful. its only drawback is that it comes at such an inconvenient time of day.” - glen cook, [morning, waking-up]"
"“life is too short to waste any amount of time on wondering what other people think about you. in the first place, if they had better things going on in their lives, they wouldn't have the time to sit around and talk about you. what's important to me is not others' opinions of me, but what's important to me is my opinion of myself.”",c. joybell c.,"['defiant', 'freedom', 'inspirational', 'inspirational-attitude', 'inspirational-quotes', 'inspiring', 'life-and-living', 'self-belief', 'self-love', 'self-worth', 'society']","“life is too short to waste any amount of time on wondering what other people think about you. in the first place, if they had better things going on in their lives, they wouldn't have the time to sit around and talk about you. what's important to me is not others' opinions of me, but what's important to me is my opinion of myself.” - c. joybell c. [defiant, freedom, inspirational, inspirational-attitude, inspirational-quotes, inspiring, life-and-living, self-belief, self-love, self-worth, society]"
"“i could die for you. but i couldn't, and wouldn't, live for you.”","ayn rand,","['death', 'die', 'fountainhead', 'life', 'live', 'mortality']","“i could die for you. but i couldn't, and wouldn't, live for you.” - ayn rand, [death, die, fountainhead, life, live, mortality]"
"“i am lonely, yet not everybody will do. i don't know why, some people fill the gaps and others emphasize my loneliness. in reality those who satisfy me are those who simply allow me to live with my ''idea of them.”",anais nin,['diary-entry'],"“i am lonely, yet not everybody will do. i don't know why, some people fill the gaps and others emphasize my loneliness. in reality those who satisfy me are those who simply allow me to live with my ''idea of them.” - anais nin [diary-entry]"
"“headline?"" he asked.""'swing set needs home,'"" i said.""'desperately lonely swing set needs loving home,'"" he said.""'lonely, vaguely pedophilic swing set seeks the butts of children,'"" i said.”","john green,","['funny', 'humor', 'humour', 'internet', 'john-green', 'pedophile', 'pedophilia', 'tfios', 'the-fault-in-our-stars']","“headline?"" he asked.""'swing set needs home,'"" i said.""'desperately lonely swing set needs loving home,'"" he said.""'lonely, vaguely pedophilic swing set seeks the butts of children,'"" i said.” - john green, [funny, humor, humour, internet, john-green, pedophile, pedophilia, tfios, the-fault-in-our-stars]"
“the only thing necessary for the triumph of evil is for good men to do nothing.”,edmund burke,['evil'],“the only thing necessary for the triumph of evil is for good men to do nothing.” - edmund burke [evil]
"“i hope that in this year to come, you make mistakes.because if you are making mistakes, then you are making new things, trying new things, learning, living, pushing yourself, changing yourself, changing your world. you're doing things you've never done before, and more importantly, you're doing something.so that's my wish for you, and all of us, and my wish for myself. make new mistakes. make glorious, amazing mistakes. make mistakes nobody's ever made before. don't freeze, don't stop, don't worry that it isn't good enough, or it isn't perfect, whatever it is: art, or love, or work or family or life.whatever it is you're scared of doing, do it.make your mistakes, next year and forever.”",neil gaiman,"['2012', 'blog', 'new-year']","“i hope that in this year to come, you make mistakes.because if you are making mistakes, then you are making new things, trying new things, learning, living, pushing yourself, changing yourself, changing your world. you're doing things you've never done before, and more importantly, you're doing something.so that's my wish for you, and all of us, and my wish for myself. make new mistakes. make glorious, amazing mistakes. make mistakes nobody's ever made before. don't freeze, don't stop, don't worry that it isn't good enough, or it isn't perfect, whatever it is: art, or love, or work or family or life.whatever it is you're scared of doing, do it.make your mistakes, next year and forever.” - neil gaiman [2012, blog, new-year]"
"“if you have enough book space, i don't want to talk to you.”",terry pratchett,"['books', 'shelves']","“if you have enough book space, i don't want to talk to you.” - terry pratchett [books, shelves]"
"“holding eleanor's hand was like holding a butterfly. or a heartbeat. like holding something complete, and completely alive.”","rainbow rowell,","['friendship', 'high-school', 'love', 'relationships', 'sweet', 'teenage-love']","“holding eleanor's hand was like holding a butterfly. or a heartbeat. like holding something complete, and completely alive.” - rainbow rowell, [friendship, high-school, love, relationships, sweet, teenage-love]"
“education: the path from cocky ignorance to miserable uncertainty.”,mark twain,['education'],“education: the path from cocky ignorance to miserable uncertainty.” - mark twain [education]
“the truth will set you free. but not until it is finished with you.”,"david foster wallace,","['freedom', 'truth']","“the truth will set you free. but not until it is finished with you.” - david foster wallace, [freedom, truth]"
"“the only real prison is fear, and the only real freedom is freedom from fear”",aung san suu kyi,['civil-rights'],"“the only real prison is fear, and the only real freedom is freedom from fear” - aung san suu kyi [civil-rights]"
"“i hope you will have a wonderful year, that you'll dream dangerously and outrageously, that you'll make something that didn't exist before you made it, that you will be loved and that you will be liked, and that you will have people to love and to like in return. and, most importantly (because i think there should be more kindness and more wisdom in the world right now), that you will, when you need to be, be wise, and that you will always be kind.”",neil gaiman,['kindness'],"“i hope you will have a wonderful year, that you'll dream dangerously and outrageously, that you'll make something that didn't exist before you made it, that you will be loved and that you will be liked, and that you will have people to love and to like in return. and, most importantly (because i think there should be more kindness and more wisdom in the world right now), that you will, when you need to be, be wise, and that you will always be kind.” - neil gaiman [kindness]"
“it's the job that's never started as takes longest to finish.”,"j.r.r. tolkien,","['fellowship', 'gamgee', 'hobbit', 'samwise', 'tolkien']","“it's the job that's never started as takes longest to finish.” - j.r.r. tolkien, [fellowship, gamgee, hobbit, samwise, tolkien]"
"“i am not proud, but i am happy; and happiness blinds, i think, more than pride.”","alexandre dumas,","['happiness', 'pride']","“i am not proud, but i am happy; and happiness blinds, i think, more than pride.” - alexandre dumas, [happiness, pride]"
"“i donâ€™t trust anybody. not anybody. and the more that i care about someone, the more sure i am theyâ€™re going to get tired of me and take off.”","rainbow rowell,","['fear', 'friendship', 'tired', 'trust']","“i donâ€™t trust anybody. not anybody. and the more that i care about someone, the more sure i am theyâ€™re going to get tired of me and take off.” - rainbow rowell, [fear, friendship, tired, trust]"
